marital,family,ses,cig1,gender,age
1,2,0.899,1,1,30
1,2,0.899,2,0,30
0,1,-0.521,1,0,11.5
0,1,-0.619,1,1,12.4
0,1,-0.619,2,1,37
1,1,-0.196,1,1,11.89
1,1,-0.196,2,0,39
0,1,-0.288,2,1,14.17
0,1,-0.288,4,1,34
1,1,0.209,1,1,15.1
1,1,0.209,1,1,30
1,1,0.209,1,0,44
1,2,1.124,5,1,14.98
1,2,1.124,5,0,12.92
1,2,1.124,2,1,34
1,1,0.659,1,0,13.16
1,1,0.659,1,0,35
1,1,0.616,1,1,15.64
1,1,0.616,1,1,14.43
1,1,0.616,1,0,12.59
1,1,0.616,1,0,11.34
1,1,0.616,1,1,39
1,2,-1.061,2,0,12.79
1,2,-1.061,3,1,35
0,1,-1.053,5,1,15.69
0,1,-1.053,2,1,36
0,1,0.511,1,0,12.22
0,1,0.511,2,1,37
1,2,0.091,2,0,14.26
1,2,0.091,4,0,35
1,1,1.311,3,1,15.94
1,1,1.311,3,0,17.65
1,1,1.311,2,1,44
1,1,1.311,2,0,44
1,1,0.756,1,0,15.39
1,1,0.756,1,1,12.9
1,1,0.756,1,1,42
1,1,0.756,2,0,42
0,1,-0.878,2,0,15.74
0,1,-0.724,2,1,14.03
0,1,-0.724,2,0,12.33
0,1,-0.724,3,1,35
1,1,1.388,3,0,15.97
1,1,1.388,1,1,45
1,2,0.549,2,0,11.87
0,1,-0.864,4,1,14.34
0,1,-0.864,4,1,11.08
0,1,-0.864,1,1,42
0,1,-1.053,3,1,32
1,1,0.434,5,0,16
1,1,0.434,5,0,13.51
1,1,0.434,4,1,38
1,1,0.434,5,0,41
1,2,1.571,1,0,13.41
1,2,1.571,1,1,36
1,2,1.571,1,0,45
1,2,0.856,4,1,35
1,2,0.856,3,0,32
0,2,0.631,5,1,15.37
0,2,0.631,5,0,16.86
0,2,0.631,3,1,39
0,2,0.631,4,0,36
1,1,0.953,1,1,13.29
1,1,0.953,1,1,40
1,1,0.953,1,0,40
